Trial,Volatile(ns),Optimized(ns)
1,46802916,0
2,31111250,42
3,24381333,0
4,22305708,0
5,22163958,0
6,22347708,42
7,22252000,41
8,22491916,0
9,23174667,0
10,21811583,0
11,22414625,0
12,23777375,42
13,23351917,0
14,23738667,0
15,24505458,42
16,24413292,0
17,24034666,0
18,24663667,0
19,24300041,42
20,24671959,0
21,24127917,0
22,23942666,0
23,23678667,42
24,24790833,0
25,26212000,0
26,25150459,42
27,25138666,0
28,25592000,0
29,24853375,0
30,24938583,42
31,24290667,0
32,26498250,0
33,24135000,41
34,23153666,0
35,24241084,41
36,23646584,0
37,23527959,0
38,24038708,0
39,23561333,41
40,24417292,0
41,24034625,0
42,23445292,42
43,24234667,0
44,25120166,0
45,25073625,42
46,24388917,42
47,23782625,0
48,24043958,0
49,23878625,42
50,24043917,0
Average,24613936,13
